datetime,solar_gen_kwh,day_of_week,hour,working_day,date,h_from_max,days_from_solstice
2023-07-24 11:00:00+02:00,,0,11,1,2023-07-24,3,33
2023-07-24 12:00:00+02:00,115.66000000000348,0,12,1,2023-07-24,2,33
2023-07-24 13:00:00+02:00,129.98000000001048,0,13,1,2023-07-24,1,33
2023-07-24 14:00:00+02:00,134.34999999997672,0,14,1,2023-07-24,0,33
2023-07-24 15:00:00+02:00,133.90000000002328,0,15,1,2023-07-24,1,33
2023-07-24 16:00:00+02:00,126.92999999999302,0,16,1,2023-07-24,2,33
2023-07-24 17:00:00+02:00,121.22000000000116,0,17,1,2023-07-24,3,33
2023-07-24 18:00:00+02:00,91.33999999999652,0,18,1,2023-07-24,4,33
2023-07-24 19:00:00+02:00,58.929999999993015,0,19,1,2023-07-24,5,33
2023-07-24 20:00:00+02:00,26.85000000000582,0,20,1,2023-07-24,6,33
2023-07-24 21:00:00+02:00,7.5,0,21,1,2023-07-24,7,33
2023-07-24 22:00:00+02:00,1.2999999999883585,0,22,1,2023-07-24,8,33
2023-07-24 23:00:00+02:00,-0.0199999999895226,0,23,1,2023-07-24,9,33
2023-07-25 00:00:00+02:00,0.0,1,0,1,2023-07-25,10,34
2023-07-25 01:00:00+02:00,0.0,1,1,1,2023-07-25,11,34
2023-07-25 02:00:00+02:00,0.0,1,2,1,2023-07-25,12,34
2023-07-25 03:00:00+02:00,0.0,1,3,1,2023-07-25,11,34
2023-07-25 04:00:00+02:00,0.0,1,4,1,2023-07-25,10,34
2023-07-25 05:00:00+02:00,0.0,1,5,1,2023-07-25,9,34
2023-07-25 06:00:00+02:00,0.0,1,6,1,2023-07-25,8,34
2023-07-25 07:00:00+02:00,0.0199999999895226,1,7,1,2023-07-25,7,34
2023-07-25 08:00:00+02:00,2.540000000008149,1,8,1,2023-07-25,6,34
2023-07-25 09:00:00+02:00,10.980000000010476,1,9,1,2023-07-25,5,34
2023-07-25 10:00:00+02:00,42.30999999999767,1,10,1,2023-07-25,4,34
2023-07-25 11:00:00+02:00,81.63999999998487,1,11,1,2023-07-25,3,34
2023-07-25 12:00:00+02:00,115.5800000000163,1,12,1,2023-07-25,2,34
2023-07-25 13:00:00+02:00,131.70999999999185,1,13,1,2023-07-25,1,34
2023-07-25 14:00:00+02:00,119.92999999999302,1,14,1,2023-07-25,0,34
2023-07-25 15:00:00+02:00,79.47000000000116,1,15,1,2023-07-25,1,34
2023-07-25 16:00:00+02:00,114.98000000001048,1,16,1,2023-07-25,2,34
2023-07-25 17:00:00+02:00,119.42999999999302,1,17,1,2023-07-25,3,34
2023-07-25 18:00:00+02:00,100.57000000000698,1,18,1,2023-07-25,4,34
2023-07-25 19:00:00+02:00,68.44999999998254,1,19,1,2023-07-25,5,34
2023-07-25 20:00:00+02:00,33.18000000002212,1,20,1,2023-07-25,6,34
2023-07-25 21:00:00+02:00,8.099999999976717,1,21,1,2023-07-25,7,34
2023-07-25 22:00:00+02:00,0.9900000000197906,1,22,1,2023-07-25,8,34
2023-07-25 23:00:00+02:00,-0.0599999999976716,1,23,1,2023-07-25,9,34
2023-07-26 00:00:00+02:00,0.0,2,0,1,2023-07-26,10,35
2023-07-26 01:00:00+02:00,0.0,2,1,1,2023-07-26,11,35
2023-07-26 02:00:00+02:00,0.0,2,2,1,2023-07-26,12,35
2023-07-26 03:00:00+02:00,0.0,2,3,1,2023-07-26,11,35
2023-07-26 04:00:00+02:00,0.0,2,4,1,2023-07-26,10,35
2023-07-26 05:00:00+02:00,0.0,2,5,1,2023-07-26,9,35
2023-07-26 06:00:00+02:00,0.0,2,6,1,2023-07-26,8,35
2023-07-26 07:00:00+02:00,0.0599999999976716,2,7,1,2023-07-26,7,35
2023-07-26 08:00:00+02:00,2.540000000008149,2,8,1,2023-07-26,6,35
2023-07-26 09:00:00+02:00,11.21999999997206,2,9,1,2023-07-26,5,35
2023-07-26 10:00:00+02:00,42.0,2,10,1,2023-07-26,4,35
2023-07-26 11:00:00+02:00,82.20000000001164,2,11,1,2023-07-26,3,35
2023-07-26 12:00:00+02:00,115.94000000000231,2,12,1,2023-07-26,2,35
2023-07-26 13:00:00+02:00,131.9899999999907,2,13,1,2023-07-26,1,35
2023-07-26 14:00:00+02:00,118.95000000001164,2,14,1,2023-07-26,0,35
2023-07-26 15:00:00+02:00,100.29999999998836,2,15,1,2023-07-26,1,35
2023-07-26 16:00:00+02:00,125.3300000000163,2,16,1,2023-07-26,2,35
2023-07-26 17:00:00+02:00,115.30999999999769,2,17,1,2023-07-26,3,35
2023-07-26 18:00:00+02:00,98.29999999998836,2,18,1,2023-07-26,4,35
2023-07-26 19:00:00+02:00,66.6700000000128,2,19,1,2023-07-26,5,35
2023-07-26 20:00:00+02:00,32.16000000000349,2,20,1,2023-07-26,6,35
2023-07-26 21:00:00+02:00,8.169999999983702,2,21,1,2023-07-26,7,35
2023-07-26 22:00:00+02:00,1.0100000000093132,2,22,1,2023-07-26,8,35
2023-07-26 23:00:00+02:00,-0.040000000008149,2,23,1,2023-07-26,9,35
2023-07-27 00:00:00+02:00,0.0,3,0,1,2023-07-27,10,36
2023-07-27 01:00:00+02:00,0.0,3,1,1,2023-07-27,11,36
2023-07-27 02:00:00+02:00,0.0,3,2,1,2023-07-27,12,36
2023-07-27 03:00:00+02:00,0.0,3,3,1,2023-07-27,11,36
2023-07-27 04:00:00+02:00,0.0,3,4,1,2023-07-27,10,36
2023-07-27 05:00:00+02:00,0.0,3,5,1,2023-07-27,9,36
2023-07-27 06:00:00+02:00,0.0,3,6,1,2023-07-27,8,36
2023-07-27 07:00:00+02:00,0.040000000008149,3,7,1,2023-07-27,7,36
2023-07-27 08:00:00+02:00,2.5,3,8,1,2023-07-27,6,36
2023-07-27 09:00:00+02:00,11.39999999999418,3,9,1,2023-07-27,5,36
2023-07-27 10:00:00+02:00,40.72000000000117,3,10,1,2023-07-27,4,36
2023-07-27 11:00:00+02:00,79.80999999999767,3,11,1,2023-07-27,3,36
2023-07-27 12:00:00+02:00,112.0,3,12,1,2023-07-27,2,36
2023-07-27 13:00:00+02:00,126.5,3,13,1,2023-07-27,1,36
2023-07-27 14:00:00+02:00,102.52999999999884,3,14,1,2023-07-27,0,36
2023-07-27 15:00:00+02:00,61.19000000000233,3,15,1,2023-07-27,1,36
2023-07-27 16:00:00+02:00,75.70999999999185,3,16,1,2023-07-27,2,36
2023-07-27 17:00:00+02:00,107.66000000000348,3,17,1,2023-07-27,3,36
2023-07-27 18:00:00+02:00,31.820000000006985,3,18,1,2023-07-27,4,36
2023-07-27 19:00:00+02:00,61.11999999999534,3,19,1,2023-07-27,5,36
2023-07-27 20:00:00+02:00,32.920000000012806,3,20,1,2023-07-27,6,36
2023-07-27 21:00:00+02:00,8.25999999998021,3,21,1,2023-07-27,7,36
