FECHA,TOTAL_KWH_ENERGIA
2024-09-01 00:00:00+02:00,0
2024-09-01 01:00:00+02:00,0
2024-09-01 02:00:00+02:00,0
2024-09-01 03:00:00+02:00,0
2024-09-01 04:00:00+02:00,0
2024-09-01 05:00:00+02:00,0
2024-09-01 06:00:00+02:00,0
2024-09-01 07:00:00+02:00,0
2024-09-01 08:00:00+02:00,0
2024-09-01 09:00:00+02:00,6.05
2024-09-01 10:00:00+02:00,20.56
2024-09-01 11:00:00+02:00,26.05
2024-09-01 12:00:00+02:00,13.14
2024-09-01 13:00:00+02:00,31.26
2024-09-01 14:00:00+02:00,36.67
2024-09-01 15:00:00+02:00,16.85
2024-09-01 16:00:00+02:00,14.13
2024-09-01 17:00:00+02:00,12.21
2024-09-01 18:00:00+02:00,83.43
2024-09-01 19:00:00+02:00,46.62
2024-09-01 20:00:00+02:00,19.23
2024-09-01 21:00:00+02:00,2.43
2024-09-01 22:00:00+02:00,-0.07
2024-09-01 23:00:00+02:00,0
2024-09-02 00:00:00+02:00,0
2024-09-02 01:00:00+02:00,0
2024-09-02 02:00:00+02:00,0
2024-09-02 03:00:00+02:00,0
2024-09-02 04:00:00+02:00,0
2024-09-02 05:00:00+02:00,0
2024-09-02 06:00:00+02:00,0
2024-09-02 07:00:00+02:00,0
2024-09-02 08:00:00+02:00,0.26
2024-09-02 09:00:00+02:00,6.74
2024-09-02 10:00:00+02:00,34.64
2024-09-02 11:00:00+02:00,70.8
2024-09-02 12:00:00+02:00,107.86
2024-09-02 13:00:00+02:00,125.28
2024-09-02 14:00:00+02:00,127.19
2024-09-02 15:00:00+02:00,111.49
2024-09-02 16:00:00+02:00,123.61
2024-09-02 17:00:00+02:00,116.12
2024-09-02 18:00:00+02:00,95.04
2024-09-02 19:00:00+02:00,59.92
2024-09-02 20:00:00+02:00,19.53
2024-09-02 21:00:00+02:00,1.85
2024-09-02 22:00:00+02:00,-0.03
2024-09-02 23:00:00+02:00,0
2024-09-03 00:00:00+02:00,0
2024-09-03 01:00:00+02:00,0
2024-09-03 02:00:00+02:00,0
2024-09-03 03:00:00+02:00,0
2024-09-03 04:00:00+02:00,0
2024-09-03 05:00:00+02:00,0
2024-09-03 06:00:00+02:00,0
2024-09-03 07:00:00+02:00,0
2024-09-03 08:00:00+02:00,0.23
2024-09-03 09:00:00+02:00,7.29
2024-09-03 10:00:00+02:00,37.49
2024-09-03 11:00:00+02:00,80.06
2024-09-03 12:00:00+02:00,113.19
2024-09-03 13:00:00+02:00,124.93
2024-09-03 14:00:00+02:00,128.6
2024-09-03 15:00:00+02:00,122.26
2024-09-03 16:00:00+02:00,114.36
2024-09-03 17:00:00+02:00,90.8
2024-09-03 18:00:00+02:00,77.23
2024-09-03 19:00:00+02:00,38.07
2024-09-03 20:00:00+02:00,17.47
2024-09-03 21:00:00+02:00,3.06
2024-09-03 22:00:00+02:00,-0.1
2024-09-03 23:00:00+02:00,0
2024-09-04 00:00:00+02:00,0
