Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Spain,Spain,ES,93.63,128.33,79.82,43.64,entsoe.eu,false,
2024-01-01 01:00:00,Spain,Spain,ES,93.64,129.19,79.44,42.33,entsoe.eu,false,
2024-01-01 02:00:00,Spain,Spain,ES,98.9,136.09,78.06,39.81,entsoe.eu,false,
2024-01-01 03:00:00,Spain,Spain,ES,99.33,136.52,78.07,39.24,entsoe.eu,false,
2024-01-01 04:00:00,Spain,Spain,ES,102.59,140.89,77.1,38.1,entsoe.eu,false,
2024-01-01 05:00:00,Spain,Spain,ES,103.23,141.52,77.07,38.07,entsoe.eu,false,
2024-01-01 06:00:00,Spain,Spain,ES,99.16,136.48,77.95,39.64,entsoe.eu,false,
2024-01-01 07:00:00,Spain,Spain,ES,97.23,133.92,78.46,40.74,entsoe.eu,false,
2024-01-01 08:00:00,Spain,Spain,ES,97.11,134.52,78.2,42.3,entsoe.eu,false,
2024-01-01 09:00:00,Spain,Spain,ES,77.47,111.16,82.94,49.09,entsoe.eu,false,
2024-01-01 10:00:00,Spain,Spain,ES,61.01,91.99,86.87,56.53,entsoe.eu,false,
2024-01-01 11:00:00,Spain,Spain,ES,53.79,83.68,88.55,60.96,entsoe.eu,false,
2024-01-01 12:00:00,Spain,Spain,ES,50.2,79.6,89.33,62.6,entsoe.eu,false,
2024-01-01 13:00:00,Spain,Spain,ES,52.34,82.53,88.77,64.53,entsoe.eu,false,
2024-01-01 14:00:00,Spain,Spain,ES,51.75,82.03,88.88,66.22,entsoe.eu,false,
2024-01-01 15:00:00,Spain,Spain,ES,53.96,83.94,88.42,63.26,entsoe.eu,false,
2024-01-01 16:00:00,Spain,Spain,ES,71.54,103.57,84.19,52.55,entsoe.eu,false,
2024-01-01 17:00:00,Spain,Spain,ES,74.76,102.88,84.89,51.95,entsoe.eu,false,
2024-01-01 18:00:00,Spain,Spain,ES,69.61,93.33,87.39,56.66,entsoe.eu,false,
2024-01-01 19:00:00,Spain,Spain,ES,66.62,89.22,88.22,58.36,entsoe.eu,false,
2024-01-01 20:00:00,Spain,Spain,ES,70.07,93.02,87.6,57.9,entsoe.eu,false,
2024-01-01 21:00:00,Spain,Spain,ES,67.26,90.41,87.95,56.87,entsoe.eu,false,
2024-01-01 22:00:00,Spain,Spain,ES,68.71,94.98,86.52,53.69,entsoe.eu,false,
2024-01-01 23:00:00,Spain,Spain,ES,69.25,98.88,85.05,51.43,entsoe.eu,false,
2024-01-02 00:00:00,Spain,Spain,ES,70.46,100.46,84.69,51.39,entsoe.eu,false,
2024-01-02 01:00:00,Spain,Spain,ES,73.5,104.63,83.79,50.65,entsoe.eu,false,
2024-01-02 02:00:00,Spain,Spain,ES,70.77,101.27,84.49,51.08,entsoe.eu,false,
2024-01-02 03:00:00,Spain,Spain,ES,70.61,101.02,84.55,50.49,entsoe.eu,false,
2024-01-02 04:00:00,Spain,Spain,ES,74.41,105.79,83.62,49.7,entsoe.eu,false,
2024-01-02 05:00:00,Spain,Spain,ES,73.08,103.97,84.0,50.79,entsoe.eu,false,
2024-01-02 06:00:00,Spain,Spain,ES,72.33,103.03,84.14,52.47,entsoe.eu,false,
2024-01-02 07:00:00,Spain,Spain,ES,66.72,94.92,86.01,56.13,entsoe.eu,false,
2024-01-02 08:00:00,Spain,Spain,ES,61.46,86.36,88.41,62.02,entsoe.eu,false,
2024-01-02 09:00:00,Spain,Spain,ES,47.96,72.45,90.93,66.92,entsoe.eu,false,
2024-01-02 10:00:00,Spain,Spain,ES,45.02,70.78,91.1,68.69,entsoe.eu,false,
2024-01-02 11:00:00,Spain,Spain,ES,45.94,72.63,90.61,68.39,entsoe.eu,false,
2024-01-02 12:00:00,Spain,Spain,ES,43.91,69.89,91.15,69.03,entsoe.eu,false,
2024-01-02 13:00:00,Spain,Spain,ES,44.08,70.16,90.98,69.51,entsoe.eu,false,
2024-01-02 14:00:00,Spain,Spain,ES,41.42,66.84,91.66,70.96,entsoe.eu,false,
2024-01-02 15:00:00,Spain,Spain,ES,44.55,69.83,90.94,68.06,entsoe.eu,false,
2024-01-02 16:00:00,Spain,Spain,ES,60.14,85.85,88.23,65.93,entsoe.eu,false,
2024-01-02 17:00:00,Spain,Spain,ES,66.17,91.62,87.18,65.35,entsoe.eu,false,
2024-01-02 18:00:00,Spain,Spain,ES,63.81,88.17,87.95,66.57,entsoe.eu,false,
2024-01-02 19:00:00,Spain,Spain,ES,58.1,81.91,88.84,64.86,entsoe.eu,false,
2024-01-02 20:00:00,Spain,Spain,ES,58.49,82.55,88.62,64.39,entsoe.eu,false,
2024-01-02 21:00:00,Spain,Spain,ES,54.15,78.82,89.01,63.58,entsoe.eu,false,
2024-01-02 22:00:00,Spain,Spain,ES,50.39,75.1,89.52,62.25,entsoe.eu,false,
